code,category,title,description,category_es,title_es,description_es
R003,Competition,Short submission period,The submission period is too short.,Competencia,Periodo para recibir ofertas corto,El período para recibir ofertas es muy corto.
R023,Collusion detection,Fixed-multiple bid prices,The percentage difference between two tenderers' bid prices is the same in different contracting processes,Detección de colusión,Diferencia similar entre precios de oferta,La diferencia porcentual entre los precios de oferta de dos oferentes es la misma en distintos procesos de contratación
R024,Collusion detection,Price close to winning bid,The percentage difference between the winning bid and the second-lowest valid bid is a low outlier,Detección de colusión,Precio cercano a la oferta ganadora,La diferencia porcentual entre la oferta ganadora y la segunda oferta válida más baja es un valor atípico bajo
R025,Collusion detection,Excessive unsuccessful bids,The ratio of winning bids to submitted bids for a top tenderer is a low outlier,Detección de colusión,Número excesivo de ofertas no exitosas,La relación entre las ofertas ganadoras y las presentadas por un oferente es un valor atípico bajo
R035,Risks to suppliers,All except winning bid disqualified,Bids are disqualified if not submitted by the single tenderer of the winning bid,Riesgos de adjudicación,Todas las ofertas son descalificadas excepto la ganadora,Las ofertas presentadas son descalificadas excepto la  ganadora
R036,Risks to suppliers,Lowest bid disqualified,"The lowest submitted bid is disqualified, while the award criterion is price only",Riesgos de adjudicación,Oferta más baja descalificada,La oferta más baja es descalificada cuando el criterio de adjudicación es solo precio
R038,Risks to suppliers,Excessive disqualified bids,"The ratio of disqualified bids to submitted bids is a high outlier per buyer, procuring entity or tenderer",Riesgos de adjudicación,Alto número de ofertas descalificadas,La relación de ofertas descalificadas y las presentadas es un valor atípico alto para un comprador o un oferente
R028,Collusion detection,Identical bid prices,Two bids submitted by different tenderers have the same price,Detección de colusión,Precios de oferta idénticos,Dos ofertas presentadas por diferentes oferentes tienen el mismo precio
R030,Risks to suppliers,Late bid won,The winning bid was received after the submission deadline,Riesgos de adjudicación,Oferta tardía gana,La oferta ganadora fue recibida después de la fecha límite de presentación
R048,Risks to suppliers,Heterogeneous supplier,The variety of items supplied by a tenderer is a high outlier,Riesgos de adjudicación,Proveedor multipropósito,La variedad de artículos suministrados por un oferente es un valor atípico alto
R058,Collusion detection,Heavily discounted bid,The percentage difference between the winning bid and the second-lowest valid bid is a high outlier,Detección de colusión,Oferta con precio muy bajo,La diferencia porcentual entre la oferta ganadora y la segunda oferta válida más baja es un valor atípico alto
